click (build: Jul 23 2008 14:51:11 by sombrutz@nfs-student2, $Rev: 2831 $): starting userlevel router
Up to Backend:   64 | 45c00040 bf140000 01596872 ac180501 e0000005 0201002c 
Up to Backend:   64 | 45c00040 bf140000 01596872 ac180501 e0000005 0201002c 
Up to Backend:   64 | 45c00040 bf140000 01596872 ac180501 e0000005 0201002c 
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61fabf c0a80494 
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61fabf c0a80494 
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61fabf c0a80494 
Reg:   40 | c0a80494 c5000000 b8563c08 70392808 1e61fabf c0a80494 
Up to Backend:  129 | 45000081 b9a30000 04115bb4 ac180502 effffffa 1f48076c 
Up to Backend:  129 | 45000081 b9a30000 04115bb4 ac180502 effffffa 1f48076c 
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61fabf c0a80494 
Up to Backend:   64 | 45c00040 bf270000 0159685f ac180501 e0000005 0201002c 
Up to Backend:   64 | 45c00040 bf270000 0159685f ac180501 e0000005 0201002c 
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61fabf c0a80494 
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61fabf c0a80494 
