click (build: Jul 23 2008 14:51:11 by sombrutz@nfs-student2, $Rev: 2831 $): starting userlevel router
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61d2bf c0a80494 
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61d2bf c0a80494 
Up to Backend:   64 | 45c00040 c2560000 01596530 ac180501 e0000005 0201002c 
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61d2bf c0a80494 
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61d2bf c0a80494 
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61d2bf c0a80494 
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61d2bf c0a80494 
Reg:   40 | c0a80494 03000000 70392808 02130602 1e61d2bf c0a80494 
Up to Backend:   64 | 45c00040 c26c0000 0159651a ac180501 e0000005 0201002c 
Up to Backend:   64 | 45c00040 c26c0000 0159651a ac180501 e0000005 0201002c 
Up to Backend:   64 | 45c00040 c26c0000 0159651a ac180501 e0000005 0201002c 
